"Nazwa instytucji","Nazwa systemu AI","Przeznaczenie systemu
Krótko, np. rozpoznawanie twarzy","Opis systemu
Do czego ogólnie cały system służy, jak działa, jakie procesy wspiera?","Użycie sztucznej inteligencji 
Do czego w tym systemie i we wspieranych przez system procesach są używane komponenty oparte na sztucznej inteligencji?","Kwalifikacja ryzyka
Czy przeprowadzono kwalifikację ryzyka w odniesieniu do poziomów określonych w AI Act  - minimalne/ograniczone/wysokie/niedopuszczalne? Wybierz właściwą odpowiedź.","Ocena skutków dla ochrony danych (DPIA)
Czy przeprowadzono ocenę skutków dla ochrony danych (DPIA), wynikającą z przepisów RODO? Jeśli odpowiedź brzmi tak, to wnosimy o udostępnienie publicznego linku.","Ocena skutków dla praw podstawowych (FRIA)
Czy przeprowadzono ocenę skutków dla praw podstawowych (FRIA)? Jeśli odpowiedź brzmi tak, to wnosimy o udostępnienie publicznego linku. Zdajemy sobie sprawę, że oficjalny unijny kwestionariusz nie został jeszcze ogłoszony, jednak być może skorzystali Państwo z nieoficjalnych lub zastosowali własną metodę.","Podręcznik użytkownika / instrukcja
Czy użytkownicy systemu dysponują jakimś rodzajem podręcznika lub instrukcji? Jeśli tak, to wnosimy o podanie linku lub linków do publicznego zasobu z tego typu dokumentami.","Publiczna wiedza o systemie
Czy wedle wiedzy organu w publicznych zasobach internetu dostępne są jakiekolwiek wzmianki, opisy, dokumenty związane z systemem inne, niż wskazane w poprzednich pytaniach? Jeśli tak, to wnosimy o podanie linków.","Modele ogólnego przeznaczenia (GPAI)
Czy system korzysta z modeli AI ogólnego przeznaczenia? Jeśli tak, to wnosimy o wyliczenie nazw modeli i ich producentów.","Dostawca systemu","Koszty wytworzenia i wdrożenia
Całkowite łączne koszty brutto ponoszone po stronie organu","Koszty utrzymania
Koszty brutto ponoszone po stronie organu w ujęciu rocznym","Początek obowiązywania licencji","Koniec obowiązywania licencji"
"Agencja Restrukturyzacji i Modernizacji Rolnictwa","System Identyfikacji Roślin AI","Automatyczne rozpoznawanie gatunków roślin na zdjęciach geotagowanych","System wykorzystuje algorytmy uczenia maszynowego do klasyfikacji zdjęć polowych według rozpoznanego gatunku lub typu uprawy. Wspiera procesy oceny i weryfikacji danych terenowych wykorzystywanych przez Agencję Restrukturyzacji i Modernizacji Rolnictwa w ramach obsługi świadczeń.","Sztuczna inteligencja jest stosowana do analizy obrazów i automatycznej klasyfikacji gatunków roślin. Model sieci konwolucyjnej (CNN) został wytrenowany na oznakowanych zdjęciach polowych.","Ryzyko wysokie","Nie, ponieważ system nie przetwarza danych osobowych.","Nie, ponieważ nie ogłoszono jeszcze kwestionariusza.","Nie ma użytkowników systemu w kontekście osób, jedynym użytkownikiem jest inna aplikacja.","Organ nie posiada informacji","Nie","Meteotrack Spółka z o.o.","650 652,10","80 941,93 (rok 2025)","22.08.2025 r. ","Licencja nieograniczona czasowo"
"Urząd Miejski w Boguchwale","WPF","Opracowanie wieloletniej prognozy finansowej wspierane przez GPAI","Opracowanie wieloletniej
prognozy finansowej
wspierane przez GPAI","proces wspierający","Ryzyko minimalne","Nie","Nie, z innych powodów.","Jednostka przyjęła Politykę korzystania z AI - dokument wewnętrzny","Podano linka do info o Copilot, chyba omyłka","Nie podano nazwy","-","0","0","-","-"
"Gdyńskie Centrum Informatyki","Chatbot, tzw. „Wirtualny Urzędnik”","Udzielnie informacji na temat spraw załatwianych w urzędzie","Automatyczne podpowiedzi generowane na żądanie operatora prowadzącego rozmowę chat na żywo. Czyli w przypadku rozmowy na czacie na linii mieszkaniec-urzędnik ten drugi może skorzystać z odpowiedzi automatycznie wygenerowanej przez AI, czyli po weryfikacji że pytanie mieszkańca nie zawiera żadnych danych osobowych itp. urzędnik klika wygeneruj odpowiedź za mnie, wówczas AI przygotowuje odpowiedź którą urzędnik po weryfikacji treści może wykorzystać i wysłać w odpowiedzi do mieszkańca lub nie. Dzięki takiej formy  automatyzacji urzędnicy mogą płynnie obsługiwać wiele rozmów równocześnie.","Generowanie odpowiedzi dla urzędników poprzez modele GPT/LLM, przetwarzanie języka naturalnego (NLP) do analizy intencji pytań mieszkańców, automatyczne przygotowywanie treści odpowiedzi na typowe zapytania administracyjne, umożliwienie obsługi wielu rozmów równocześnie przez jednego urzędnika. System wykorzystuje sztuczną inteligencję do rozpoznawania kontekstu pytań i generowania odpowiedzi w naturalnym języku polskim.","Ryzyko minimalne","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Nie","Organ nie posiada informacji","chatbot wykorzystuje obecnie modele GPT od OpenAI, planowane wdrożenie polskiego modelu PLLuM w ramach współpracy z konsorcjum HIVE A","InteliWISE ","13 776,00 zł","2025  -  29 000,00 zł","25.02.2025","24.02.2026"
"Gdyńskie Centrum Informatyki","Voicebot – Asystent Głosowy","Rezerwacja wizyt w urzędzie","System automatycznie identyfikuje rodzaj sprawy, przypisuje do odpowiedniego wydziału i umawia wizyty z integracją z systemem kalendarzowym urzędu.","Automatyczne rozpoznawanie mowy naturalnej (ASR), przetwarzanie języka naturalnego (NLP) do analizy intencji rozmówcy, synteza mowy (TTS) do komunikacji z mieszkańcem, inteligentna analiza dostępności terminów w systemie kalendarzowym urzędu, automatyczne przypisywanie spraw do właściwych wydziałów na podstawie rozpoznanej intencji, zarządzanie całym procesem rezerwacji wizyt bez udziału człowieka, przekierowanie do konsultanta w przypadku złożonych zapytań.","Ryzyko ograniczone","Tak w zakresie Rezerwacji wizyt ze względu na dane osobowe","Nie, ponieważ nie ogłoszono jeszcze kwestionariusza.","Tak dla rezerwacji wizyt -> https://rezerwacje.um.gdynia.pl/user-manual?lang=pl ","Organ nie posiada informacji","Nie","Sprint","147 587,70 zł (jest to łączny koszt czasowe udostępnienie, wdrożenie oraz serwis)","2025  158 055,00 zł","1.04.2025","31.03.2026"
"Gdyńskie Centrum Informatyki","Microsoft Copilot","Copilot to zaawansowany system oparty na sztucznej inteligencji, którego głównym celem jest wspieranie użytkowników w generowaniu, edycji oraz analizie treści tekstowych. ","Centralnym elementem Copilota są modele językowe dużej skali (Large Language Models – LLM), zdolne do rozumienia, generowania i przetwarzania tekstu naturalnego.
Komponenty AI obejmują m.in.:
•	Moduły rozpoznawania i analizy języka (NLP – Natural Language Processing)
•	Algorytmy generowania tekstu na podstawie wprowadzonego kontekstu
•	Mechanizmy uczenia maszynowego, pozwalające na adaptację do stylu i potrzeb użytkownika
•	Systemy bezpieczeństwa i filtracji treści, mające na celu blokowanie generowania treści szkodliwych lub niezgodnych z politykami organizacji","AI w Copilocie wspiera procesy takie jak: 
•	automatyczna redakcja dokumentów, 
•	streszczanie, 
•	analiza danych, 
•	generowanie podsumowań spotkań,
•	tworzenie propozycji odpowiedzi na wiadomości e-mail

","Ryzyko minimalne","Nie","Nie, z innych powodów.","https://support.microsoft.com/pl-pl/microsoft-365-copilot","Organ nie posiada informacji","Systemy Copilot, takie jak Microsoft 365 Copilot, korzystają z modeli AI ogólnego przeznaczenia (General Purpose AI Models – GPAI), w szczególności dużych modeli językowych (LLM). Najczęściej wykorzystywane są modele z rodziny OpenAI GPT (np. GPT-4), produkowane przez OpenAI, a także modele rozwijane przez Microsoft.  W zależności od wersji i wdrożenia mogą być stosowane również inne modele, jednak najczęściej podawane są jako bazowe modele OpenAI GPT, znane z wysokiej skuteczności w generowaniu tekstu oraz rozumieniu kontekstu.","Microsoft","Brak kosztów wytworzenia. Kupowany jest gotowy produkt. Brak kosztów wdrożenia. Wdrożenie w aktualnym zakresie realiowane jest wewnętrznie, przez GCI.","Microsoft 365 Copilot – 15 szt. - 21043,59 PLN Brutto (subskrypcja roczna)","01.2025 (10 szt); 06.2025 (5 szt)","01.2026 (10 szt); 06.2026 (5 szt)"
"Główny Urząd Geodezji i Kartografii","GeoChatbot","Uzyskanie informacji na zadany temat związany z Geoportalem oraz Głównym Urzędem Geodezji i Kartografii","Jest to nowoczesne rozwiązanie oparte na sztucznej inteligencji, które pozwala na szybkie i wygodne uzyskanie informacji na zadany temat związany z Geoportalem oraz Głównym Urzędem Geodezji i Kartografii. Narzędzie będzie udoskonalane.","Do uzyskania informacji na zadany temat związany z Geoportalem oraz Głównym Urzędem Geodezji i Kartografii.","Ryzyko minimalne","W udostępnianym rozwiązaniu AI nie są przetwarzane zbiory danych osobowych.","Nie, ponieważ nie ogłoszono jeszcze kwestionariusza.","Nie","Organ nie posiada informacji","Tak. GeoChatbot korzysta z modeli sztucznej inteligencji ogólnego przeznaczenia (GPAI) dostarczanych przez zewnętrznego dostawcę usług chmurowych. Modele te są wykorzystywane wyłącznie do generowania odpowiedzi tekstowych na pytania użytkowników dotyczące zasobów i funkcjonalności Geoportalu oraz działalności Głównego Urzędu Geodezji i Kartografii. Ze względu na charakter rozwiązania oraz umowę z dostawcą, GUGiK nie jest producentem modeli AI. Zastosowany model należy do kategorii modeli językowych dużej skali (Large Language Models – LLM). – Model: GPT-4o, producent: OpenAI – Typ: Large Language Model (LLM) ogólnego przeznaczenia","Chatbase","-","990 $","08.07.2025 r.","08.07.2026 r."
"Urząd Miejski w Grodzisku Mazowieckim","eRecruiter","Składanie ofert pracy","System służy do składania ofert pracy na ogłoszenia naborze w formie
elektronicznej.","W obsłudze systemu dla potrzeb Urzędu Miejskiego w Grodzisku Mazowieckim
nie jest wykorzystywany moduł sztucznej inteligencji.","Nie przeprowadzono","Nie","Nie, z innych powodów.","https://erecruiter.pl/szkolenia-i-webinary/","https://erecruiter.pl/szkolenia-i-webinary/","Urząd nie posiada informacji","eRecruitment Solutions sp. z o.o.","Całkowity koszt wdrożenia i utrzymania systemu 20971,50 brutto","W okresie od 21.02.2025 do 31.12.2025 – 8601,39 brutto, 2026 – 12370,11 brutto","21.02.2025 г.","31.12.2026 r."
"Kancelaria Sejmu RP","Konwerter mowy na tekst","Tworzenie zapisu tekstowego z wypowiedzi","System służy do konwersji mowy - zamienia nagranie audio głosu mówców uczestniczących w posiedzeniu Sejmu na tekst. Produkt końcowy zawiera także znaczniki czasu wypowiedzi. Rozwiązanie przyspiesza pracę nad wygenerowaniem sprawozdania stenograficznego z posiedzenia Sejmu.","Komponenty oparte na sztucznej inteligencji są używane do zamiany mowy na tekst. Rozwiązanie oparte jest o wykorzystanie silnika whisper.cpp","Ryzyko minimalne","Nie","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Nie","Organ nie posiada informacji","ggml-large-v3-turbo-q8_0 OpenAI","github","Brak","Brak",,
"Urząd Miasta Katowice","Katowicki Inteligentny System Monitoringu i Analizy (KISMiA)","KISMIA to m.in. system którego zadaniem jest wsparcie operatorów miejskiego monitoringu w procesie obsługi incydentów związanych z bezpieczeństwem publicznym","KISMiA to m.in. inteligentny system monitoringu miejskiego. Analiza obrazu wideo z kamer miejskiego monitoringu. Wsparcie operatorów monitoringu w procesie obsługi incydentów.","Automatyzacja analityk wideo w zakresie rozpoznawania pojazdów uprzywilejowanych poruszających się i parkujących w zdefiniowanych strefach wyłączonych (filtrowanie fałszywych alertów). Zliczanie przepływu osób w danych kierunkach (północ, południe, wschód, zachód) w zdefiniowanych strefach.","Nie przeprowadzono","Tak. Nie jest dostępne publicznie ze względu na to, że system jest częścią infrastruktury krytycznej dla bezpieczeństwa miasta.","Nie dotyczy, bo zidentyfikowany dla systemu poziom ryzyka tego nie wymaga.","Tak. Nie jest dostępny publicznie ze względu na to, że system jest częścią infrastruktury krytycznej dla bezpieczeństwa miasta.","Organ nie posiada informacji","Nie","System KISMIA jest zbudowany w oparciu o rozwiązania: IBM, Milestone, WMB Expert","Łączny koszt wytworzenia i wdrożenia (uwzględniający sprzęt, licencje, kamery, czujniki, instalacje, rozbudowę itd) to: 35 350 779,87 zł","ok. 2 mln zł brutto rocznie (koszty licencji, subskrypcji, serwisu, rozbudowy systemu).","System KISMiA wdrożono w 2017.","W trakcie użytkowania."
"Urząd Gminy w Kaźmierzu","Mycroft BIP Scanner","identyfikowanie danych osobowych","Automatyczne wykrywanie danych osobowych na zasobach BIP","Wykrywanie danych osobowych w załacznikach, stronach BIP","Nie przeprowadzono","Nie","Nie, ponieważ nie ogłoszono jeszcze kwestionariusza.","https://mycroftsolutions.ai/","Organ nie posiada informacji","Pytanie do dostawcy","Arcus S.A.","w ramach opłat miesięcznych","500 PLN netto/ miesiąc",,
